Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes,game_link,ids,Season,Home_Score,Away_Score
1.0,Sat,2023-04-15,16:00,América (MG),1.1,0–3,3.1,Fluminense,6653.0,Estádio Raimundo Sampaio,Braulio da Silva Machado,Match Report,,/en/matches/3f9c38cd/America-MG-Fluminense-April-15-2023-Serie-A,3f9c38cd,2023,0,3
1.0,Sat,2023-04-15,16:00,Palmeiras,3.0,2–1,1.0,Cuiabá,35835.0,Allianz Parque,Paulo Cesar Zanovelli da Silva,Match Report,,/en/matches/b959f7a3/Palmeiras-Cuiaba-April-15-2023-Serie-A,b959f7a3,2023,2,1
1.0,Sat,2023-04-15,18:30,Bragantino,2.0,2–1,0.7,Bahia,3368.0,Estádio Nabi Abi Chedid,Maguielson Lima Barbosa,Match Report,,/en/matches/94647e41/Bragantino-Bahia-April-15-2023-Serie-A,94647e41,2023,2,1
1.0,Sat,2023-04-15,18:30,Botafogo (RJ),0.9,2–1,2.0,São Paulo,11708.0,Estádio Nilton Santos,Ramon Abatti Abel,Match Report,,/en/matches/d5b8d3df/Botafogo-RJ-Sao-Paulo-April-15-2023-Serie-A,d5b8d3df,2023,2,1
1.0,Sat,2023-04-15,18:30,Ath Paranaense,0.8,2–0,1.0,Goiás,15329.0,Estádio Joaquim Américo Guimarães,Rafael Rodrigo Klein,Match Report,,/en/matches/d6629544/Athletico-Paranaense-Goias-April-15-2023-Serie-A,d6629544,2023,2,0
1.0,Sat,2023-04-15,18:30,Fortaleza,1.5,1–1,0.9,Internacional,30191.0,Estádio Castelão,Edina Alves Batista,Match Report,,/en/matches/f8e08c8f/Fortaleza-Internacional-April-15-2023-Serie-A,f8e08c8f,2023,1,1
1.0,Sun,2023-04-16,16:00,Flamengo,1.4,3–0,0.4,Coritiba,42848.0,Estadio Jornalista Mário Filho,Rodrigo José Pereira de Lima,Match Report,,/en/matches/1d8a4c36/Flamengo-Coritiba-April-16-2023-Serie-A,1d8a4c36,2023,3,0
1.0,Sun,2023-04-16,16:00,Corinthians,1.5,2–1,0.5,Cruzeiro,41304.0,Neo Química Arena,Anderson Daronco,Match Report,,/en/matches/9d3b8f29/Corinthians-Cruzeiro-April-16-2023-Serie-A,9d3b8f29,2023,2,1
1.0,Sun,2023-04-16,18:30,Grêmio,1.6,1–0,1.2,Santos,13997.0,Estádio Alfredo Jaconi,Wilton Sampaio,Match Report,,/en/matches/e1f3d89b/Gremio-Santos-April-16-2023-Serie-A,e1f3d89b,2023,1,0
1.0,Sat,2023-04-15,21:00,Atlético Mineiro,1.5,1–2,1.5,Vasco da Gama,34980.0,Estádio Governador Magalhães Pinto,Raphael Claus,Match Report,,/en/matches/66c932af/Atletico-Mineiro-Vasco-da-Gama-April-15-2023-Serie-A,66c932af,2023,1,2
2.0,Sat,2023-04-22,16:00,Fluminense,0.8,2–0,0.6,Ath Paranaense,38598.0,Estadio Jornalista Mário Filho,Paulo Cesar Zanovelli da Silva,Match Report,,/en/matches/767895d6/Fluminense-Athletico-Paranaense-April-22-2023-Serie-A,767895d6,2023,2,0
2.0,Sat,2023-04-22,17:30,Cuiabá,1.2,1–1,0.9,Bragantino,9267.0,Arena Pantanal,Caio Max Augusto Vieira,Match Report,,/en/matches/cfbeb295/Cuiaba-Bragantino-April-22-2023-Serie-A,cfbeb295,2023,1,1
2.0,Sat,2023-04-22,18:30,São Paulo,2.4,3–0,1.1,América (MG),41006.0,Estádio do Morumbi,Wagner do Nascimento Magalhães,Match Report,,/en/matches/7a90288e/Sao-Paulo-America-MG-April-22-2023-Serie-A,7a90288e,2023,3,0
2.0,Sun,2023-04-23,11:00,Internacional,1.1,2–1,1.5,Flamengo,45751.0,Estádio José Pinheiro Borba,Ramon Abatti Abel,Match Report,,/en/matches/02383bbd/Internacional-Flamengo-April-23-2023-Serie-A,02383bbd,2023,2,1
2.0,Sun,2023-04-23,16:00,Vasco da Gama,1.4,2–2,0.7,Palmeiras,59867.0,Estádio Club de Regatas Vasco da Gama,Rafael Rodrigo Klein,Match Report,,/en/matches/0cf6e042/Vasco-da-Gama-Palmeiras-April-23-2023-Serie-A,0cf6e042,2023,2,2
2.0,Sun,2023-04-23,16:00,Santos,0.8,0–0,1.2,Atlético Mineiro,11233.0,Estádio Urbano Caldeira,Braulio da Silva Machado,Match Report,,/en/matches/a7642f0e/Santos-Atletico-Mineiro-April-23-2023-Serie-A,a7642f0e,2023,0,0
2.0,Sun,2023-04-23,18:30,Coritiba,0.7,0–3,2.6,Fortaleza,24423.0,Estádio Major Antônio Couto Pereira,Wilton Sampaio,Match Report,,/en/matches/45ae3e74/Coritiba-Fortaleza-April-23-2023-Serie-A,45ae3e74,2023,0,3
2.0,Sun,2023-04-23,19:00,Goiás,1.2,3–1,0.5,Corinthians,8508.0,Estádio de Hailé Pinheiro,Bruno Arleu de Araujo,Match Report,,/en/matches/017a082a/Goias-Corinthians-April-23-2023-Serie-A,017a082a,2023,3,1
2.0,Sat,2023-04-22,21:00,Cruzeiro,1.5,1–0,0.8,Grêmio,21605.0,Estádio Raimundo Sampaio,Flavio Rodrigues de Souza,Match Report,,/en/matches/a60cbc50/Cruzeiro-Gremio-April-22-2023-Serie-A,a60cbc50,2023,1,0
2.0,Mon,2023-04-24,20:00,Bahia,0.9,1–2,0.2,Botafogo (RJ),27822.0,Itaipava Arena Fonte Nova,Raphael Claus,Match Report,,/en/matches/c9a18a18/Bahia-Botafogo-RJ-April-24-2023-Serie-A,c9a18a18,2023,1,2
3.0,Sat,2023-04-29,16:30,Coritiba,1.8,1–1,1.1,São Paulo,25210.0,Estádio Major Antônio Couto Pereira,Rafael Rodrigo Klein,Match Report,,/en/matches/2992fa37/Coritiba-Sao-Paulo-April-29-2023-Serie-A,2992fa37,2023,1,1
3.0,Sat,2023-04-29,16:30,Fortaleza,5.3,4–2,1.5,Fluminense,39943.0,Estádio Castelão,Raphael Claus,Match Report,,/en/matches/c943342f/Fortaleza-Fluminense-April-29-2023-Serie-A,c943342f,2023,4,2
3.0,Sat,2023-04-29,18:30,Bragantino,1.5,0–3,2.0,Cruzeiro,4829.0,Estádio Nabi Abi Chedid,Braulio da Silva Machado,Match Report,,/en/matches/9650b0b3/Bragantino-Cruzeiro-April-29-2023-Serie-A,9650b0b3,2023,0,3
3.0,Sat,2023-04-29,18:30,Santos,1.8,3–2,1.8,América (MG),11844.0,Estádio Urbano Caldeira,Anderson Daronco,Match Report,,/en/matches/a1a57111/Santos-America-MG-April-29-2023-Serie-A,a1a57111,2023,3,2
3.0,Sat,2023-04-29,18:30,Palmeiras,1.4,2–1,0.5,Corinthians,41457.0,Allianz Parque,Wilton Sampaio,Match Report,,/en/matches/a69071f9/Palmeiras-Corinthians-April-29-2023-Serie-A,a69071f9,2023,2,1
3.0,Sun,2023-04-30,16:00,Flamengo,3.1,2–3,1.9,Botafogo (RJ),53138.0,Estadio Jornalista Mário Filho,Edina Alves Batista,Match Report,,/en/matches/86b32570/Flamengo-Botafogo-RJ-April-30-2023-Serie-A,86b32570,2023,2,3
3.0,Sun,2023-04-30,17:30,Cuiabá,1.2,1–2,1.7,Grêmio,21385.0,Arena Pantanal,Bruno Arleu de Araujo,Match Report,,/en/matches/10f5f85b/Cuiaba-Gremio-April-30-2023-Serie-A,10f5f85b,2023,1,2
3.0,Sun,2023-04-30,18:30,Internacional,0.9,1–0,0.8,Goiás,29193.0,Estádio José Pinheiro Borba,Rodrigo José Pereira de Lima,Match Report,,/en/matches/0f54fed5/Internacional-Goias-April-30-2023-Serie-A,0f54fed5,2023,1,0
3.0,Sat,2023-04-29,21:00,Atlético Mineiro,2.0,2–1,0.6,Ath Paranaense,15037.0,Estádio Raimundo Sampaio,Ramon Abatti Abel,Match Report,,/en/matches/9da7f983/Atletico-Mineiro-Athletico-Paranaense-April-29-2023-Serie-A,9da7f983,2023,2,1
3.0,Mon,2023-05-01,20:00,Vasco da Gama,0.9,0–1,1.1,Bahia,19223.0,Estádio Club de Regatas Vasco da Gama,Flavio Rodrigues de Souza,Match Report,,/en/matches/9405f30f/Vasco-da-Gama-Bahia-May-1-2023-Serie-A,9405f30f,2023,0,1
4.0,Sat,2023-05-06,16:00,Cruzeiro,1.6,2–1,1.0,Santos,21191.0,Estádio Raimundo Sampaio,Bruno Arleu de Araujo,Match Report,,/en/matches/99e59530/Cruzeiro-Santos-May-6-2023-Serie-A,99e59530,2023,2,1
