match_id,Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
3f9c38cd,2,Gabriel Pirani,Fluminense,0.28,0.27,Saved,9.0,Right Foot,,John Kennedy,Pass (Live),John Kennedy,Take-On
3f9c38cd,4,Juninho,América (MG),0.25,0.69,Saved,9.0,Left Foot,,Henrique Almeida,Pass (Live),,
3f9c38cd,4,Iago Maidana,América (MG),0.06,,Blocked,17.0,Right Foot,Volley,Juninho,Shot,,
3f9c38cd,7,Ale,América (MG),0.03,,Off Target,16.0,Head,,Leandro Emmanuel Martínez,Pass (Live),,
3f9c38cd,8,Everaldo,América (MG),0.01,0.26,Saved,25.0,Left Foot,,Henrique Almeida,Pass (Live),Iago Maidana,Pass (Live)
3f9c38cd,14,Henrique Almeida,América (MG),0.05,,Off Target,29.0,Right Foot,,,,,
3f9c38cd,23,Felipe Azevedo,América (MG),0.04,,Blocked,17.0,Right Foot,,Leandro Emmanuel Martínez,Pass (Live),Juninho,Pass (Live)
3f9c38cd,28,André,Fluminense,0.01,,Off Target,36.0,Right Foot,,Lima,Pass (Live),Ganso,Pass (Live)
3f9c38cd,31,Everaldo,América (MG),0.02,,Blocked,32.0,Right Foot,,Leandro Emmanuel Martínez,Pass (Live),Henrique Almeida,Pass (Live)
3f9c38cd,35,Ganso,Fluminense,0.06,,Blocked,26.0,Left Foot,,John Kennedy,Take-On,Vitor Mendes,Pass (Live)
3f9c38cd,43,Henrique Almeida,América (MG),0.07,,Blocked,12.0,Right Foot,,Everaldo,Pass (Live),Leandro Emmanuel Martínez,Pass (Live)
3f9c38cd,45,Henrique Almeida,América (MG),0.12,,Blocked,6.0,Right Foot,,Juninho,Pass (Live),Juninho,Take-On
3f9c38cd,45,Henrique Almeida,América (MG),0.11,,Woodwork,7.0,Right Foot,,Henrique Almeida,Shot,,
3f9c38cd,45+3,Marlon,América (MG),0.02,,Blocked,30.0,Left Foot,,Everaldo,Fouled,Nino Paraíba,Pass (Live)
