,ids,Home_xP,Away_xP
0,3f9c38cd,0.2,2.72
1,b959f7a3,2.69,0.2
2,94647e41,2.66,0.22
3,d5b8d3df,0.49,2.32
4,d6629544,1.06,1.64
5,f8e08c8f,1.84,0.89
6,1d8a4c36,2.3,0.45
7,9d3b8f29,2.23,0.55
8,e1f3d89b,1.8,0.93
9,66c932af,1.43,1.26
10,767895d6,1.43,1.2
11,cfbeb295,1.61,1.03
12,7a90288e,2.15,0.68
13,02383bbd,1.05,1.68
14,0cf6e042,2.15,0.6
15,a7642f0e,0.73,1.98
16,45ae3e74,0.16,2.76
17,017a082a,2.07,0.61
18,a60cbc50,1.81,0.92
19,c9a18a18,1.98,0.62
20,2992fa37,1.96,0.83
21,c943342f,2.9,0.07
22,9650b0b3,1.04,1.71
23,a1a57111,1.46,1.27
24,a69071f9,2.1,0.65
25,86b32570,1.85,0.96
26,10f5f85b,1.09,1.66
27,0f54fed5,1.47,1.18
28,9da7f983,2.45,0.38
29,9405f30f,1.11,1.6
30,99e59530,1.95,0.78
31,e52d8331,2.08,0.63
32,80877983,0.88,1.8
33,9eef41c0,2.66,0.24
34,f4b889bc,2.27,0.45
35,2599c7ff,2.52,0.32
36,5cf775e0,1.21,1.47
37,ac20fea5,0.61,2.2
38,a278d3d6,2.23,0.54
39,f5263891,2.0,0.76
40,027ad5ab,0.97,1.75
41,2da143d6,1.0,1.76
42,8ef1bcfe,0.03,2.96
43,bd884904,1.96,0.83
44,4536f612,2.66,0.23
45,af6791cb,1.57,1.08
46,2fadcf10,2.88,0.07
47,7840a6a7,1.33,1.29
48,4ceed639,2.98,0.01
49,80369894,1.98,0.8
50,2d532d7a,0.81,1.97
51,64ac3a68,1.25,1.43
52,a561ceb3,1.87,0.87
53,59277cb9,1.48,1.13
54,76068290,2.29,0.51
55,b6321e0b,1.5,1.06
56,9fad406f,2.91,0.05
57,aa9ea318,0.44,2.4
58,fc386148,1.68,1.02
59,12bfd222,2.7,0.19
60,bfb2796c,2.29,0.5
61,1193ded0,1.8,0.91
62,7fafbafb,0.81,1.85
63,9209023f,1.71,0.97
64,c043d49e,1.01,1.7
65,d207de49,2.23,0.57
66,11ca3529,0.74,1.97
67,e18a4ea8,1.49,1.27
